Region,ID,ChemicalName,mean.Control.PBS,mean.0.2.mg.kg.DMSO,mean.2.0.mg.kg.DMSO,mean.4.0.mg.kg.DMSO,FC_lowvsCTRL,FC_medvsCTRL,FC_highvsCTRL,post.hoc.Control.PBS.0.2.mg.kg.DMSO,post.hoc.Control.PBS.2.0.mg.kg.DMSO,post.hoc.Control.PBS.4.0.mg.kg.DMSO
Hippocampus,28,gamma-Aminobutyric-acid,25116204.8,29863731.6,27217471.6,31501441.6,1.189022459,1.083661796,1.254227773,0.437749113,0.758412557,0.288189844
Cortex,28,gamma-Aminobutyric-acid,23215492.8,25978444.4,26801598.4,28954702,1.119013265,1.154470363,1.247214619,0.808942751,0.654315256,0.320053236
Cerebellum,28,gamma-Aminobutyric-acid,21887266.4,26232079.2,25736413.33,24280927.4,1.1985087,1.175862388,1.109363177,0.838749752,0.789513233,0.962035262
Basal Ganglia,28,gamma-Aminobutyric-acid,32643822,36613693.6,35434853.6,34335621.6,1.121611728,1.085499535,1.051826027,0.803034158,0.925324761,0.974883327
Hippocampus,95,Acetaminophen,173621.2,262358.6,304883,192554,1.511097723,1.756024034,1.109046591,0.912026424,0.547651585,0.998259037
Cortex,95,Acetaminophen,1230650.6,182506.8,624608.2,359075.4,0.148301069,0.507543083,0.291776886,0.215741597,0.856107744,0.71950512
Cerebellum,95,Acetaminophen,343225.8,163465.2,228524,361246,0.4762614,0.665812419,1.052502463,0.841542619,0.999982459,0.816830167
Basal Ganglia,95,Acetaminophen,302526.6,381425.6,1245000.6,181299,1.260800207,4.115342585,0.59928284,0.998654326,0.676763195,0.775685134
Hippocampus,97,Acetyl-L-carnitine,116760176,62683776.8,210429345.6,62174596,0.536859218,1.802235598,0.532498307,0.536923601,0.406226957,0.517449804
Cortex,97,Acetyl-L-carnitine,94409423.2,110777123.2,76293698.4,123563504,1.173369346,0.80811529,1.308804776,0.698344888,0.999834564,0.512466591
Cerebellum,97,Acetyl-L-carnitine,185332817.6,145235108.8,171950422.7,142765054.4,0.783644854,0.927792632,0.770317185,0.825528283,0.991944552,0.798230323
Basal Ganglia,97,Acetyl-L-carnitine,162866380.8,93355112,151641929.6,74956098.4,0.57320063,0.931081841,0.460230638,0.041472719,0.948072273,0.003992829
Hippocampus,96,Acetylcholine-cation,7492591,15501967.4,9033753.8,17517738.4,2.068972856,1.205691569,2.338008094,0.028036573,0.406081601,0.017521333
Cortex,96,Acetylcholine-cation,4595423.8,8075389.8,11188840.8,7756983.6,1.757267697,2.434778877,1.687980029,0.198224301,0.012436545,0.139098698
Cerebellum,96,Acetylcholine-cation,11392062.6,26970509.2,11849456.33,14661025.4,2.367482531,1.040150212,1.286950916,0.384247855,0.999999529,0.956618376
Basal Ganglia,96,Acetylcholine-cation,8863920,21508896.2,6575773.6,16740946.8,2.426567049,0.74185841,1.888661766,0.023073161,0.60031068,0.110307306
Hippocampus,98,Adenine,62611,155295.6,167871.4,124783.2,2.480324544,2.681180623,1.992991647,0.013906638,0.009420324,0.111092177
Cortex,98,Adenine,81755.8,64242.8,2877700,3370996.2,0.785788898,35.19872596,41.23250216,0.979899676,0.376080672,0.4021877
Cerebellum,98,Adenine,65762.2,6103817.6,147887.6667,7018308,92.81650553,2.248824806,106.7225245,0.073713464,0.793785904,0.290270087
Basal Ganglia,98,Adenine,72556,155874,162495.6,148722.6,2.14832681,2.239588731,2.049762942,0.00014795,8.54577E-05,0.000273796
Hippocampus,99,Adenosine,25783745,107990388.8,104643276,30977832,4.188312784,4.058497941,1.201448122,0.004002984,0.019035051,0.959508823
Cortex,99,Adenosine,39391867.6,42964868,112989628.8,97586008,1.090704011,2.868349121,2.477313566,0.999075324,0.000635272,0.002504328
Cerebellum,99,Adenosine,32699936.4,127459516,106390124.7,31142681.6,3.897852107,3.25352696,0.952377436,0.183975447,0.076060406,0.94923306
Basal Ganglia,99,Adenosine,22373026.8,61028857.6,85315834.4,24386012.4,2.727787266,3.813334475,1.089973771,0.138217899,0.041275596,0.999166262
Hippocampus,101,Adenosine-3-monophosphate,476597.4,474117.6,496698.6,348619.6,0.994796866,1.042176479,0.731476084,0.998744349,0.99979356,0.987705314
Cortex,101,Adenosine-3-monophosphate,273113.8,260365.8,313485.2,411670.6,0.953323486,1.147818968,1.507322589,0.997887457,0.984076398,0.579947163
Cerebellum,101,Adenosine-3-monophosphate,288901.4,412003.2,350209.8333,264954.6,1.426103162,1.21221231,0.917110821,0.747110533,0.80349059,0.904666143
Basal Ganglia,101,Adenosine-3-monophosphate,617884.4,786429,771804,550233.2,1.272776914,1.249107438,0.890511558,0.99993977,0.942327925,0.990452511
Hippocampus,100,Adenosine-5-monophosphate,39110584.2,59607952,63671598.8,79424723,1.524087487,1.627988947,2.030773117,0.122186211,0.079413867,0.008260698
Cortex,100,Adenosine-5-monophosphate,53620896.8,58081576.2,67701747.6,72537030.6,1.083189198,1.262600062,1.352775409,0.90475804,0.293061638,0.108451905
Cerebellum,100,Adenosine-5-monophosphate,37529401.2,50939817.4,53452769.67,51389170.4,1.35733094,1.424290502,1.369304299,0.387368622,0.218751703,0.461160107
Basal Ganglia,100,Adenosine-5-monophosphate,58586913.2,53998145.4,64549868.4,77694757.8,0.921675891,1.101779645,1.32614527,0.982456533,0.8705097,0.314310496
Hippocampus,102,Adenylosuccinic-acid,650763.6,1379659.2,1826815.4,2654861.6,2.120062032,2.807187433,4.079609861,0.225718053,0.171866072,0.025780672
Cortex,102,Adenylosuccinic-acid,909672.6,1988800.8,1916311,2130148.6,2.186281966,2.106594175,2.341665122,0.195855994,0.536082508,0.503790755
Cerebellum,102,Adenylosuccinic-acid,1175519.2,1738274,1599324.833,3527919,1.478728718,1.360526339,3.001158127,0.723863561,0.686271967,0.113880365
Basal Ganglia,102,Adenylosuccinic-acid,1091737.6,698787.8,773826.2,1721336.2,0.640069372,0.708802372,1.57669407,0.470608749,0.73787037,0.964159657
Hippocampus,103,Agmatine,25270.2,27716.8,304130.6,75853.4,1.096817595,12.03514812,3.001693695,0.99999756,0.013122263,0.212064922
Cortex,103,Agmatine,24031.8,15280.6,192504,60154.6,0.635849167,8.010386238,2.503125026,0.959406911,0.006188051,0.218234078
Cerebellum,103,Agmatine,22695,39200.4,313235.1667,52332.2,1.727270324,13.8019461,2.305891165,0.347065328,6.95697E-05,0.142321327
Basal Ganglia,103,Agmatine,36048.2,42548.2,283128.2,100905.8,1.180314135,7.85415638,2.799191083,0.905658183,0.03873207,0.498116828
Hippocampus,104,Ala-Ala,305573,217820.2,213474.4,224838.8,0.712825413,0.698603607,0.735794066,0.76135404,0.96158661,0.970239592
Cortex,104,Ala-Ala,235703.4,197258.4,221279.6,225078.6,0.836892467,0.938805295,0.954923009,0.661873611,0.966327188,0.993561816
Cerebellum,104,Ala-Ala,277555.4,515586.6,462412.5,366541,1.857598879,1.666018748,1.320604823,0.148957551,0.180642253,0.509462963
Basal Ganglia,104,Ala-Ala,432887.2,231869.6,304869,260268.8,0.535635149,0.704268918,0.601239307,0.177931853,0.819191256,0.384094312
Hippocampus,105,Ala-Ile,625704.8,798049.2,623461.2,683910.8,1.275440431,0.996414284,1.093024698,0.360126472,0.99700043,0.843391382
Cortex,105,Ala-Ile,615399.4,655950.8,562656.2,691575.4,1.065894442,0.914294359,1.123783026,0.799739635,0.778440531,0.471008328
Cerebellum,105,Ala-Ile,964818.2,1081681.6,902075.6667,1117490.4,1.121124788,0.934969579,1.158239345,0.375735419,0.730126247,0.140298509
Basal Ganglia,105,Ala-Ile,820786.2,750475,789494.6,723118.8,0.914336766,0.961876065,0.881007502,0.80145834,0.924015412,0.611079087
Hippocampus,106,Allopurinol-riboside,75473191.2,92798828.8,109961460.8,58708630.4,1.229560157,1.456960532,0.777873964,0.419126604,0.092010237,0.402472224
Cortex,106,Allopurinol-riboside,74498191.2,89352582.4,106610408,103600344,1.199392642,1.431046933,1.390642408,0.325816882,0.016581371,0.025130085
Cerebellum,106,Allopurinol-riboside,99781057.6,117114380.8,134019461.3,98507667.2,1.173713565,1.343135306,0.987238155,0.397542132,0.040415387,0.992665445
Basal Ganglia,106,Allopurinol-riboside,78813203.2,97760009.6,114829934.4,55282627.2,1.240401426,1.456988547,0.701438654,0.165930596,0.00831337,0.00868378
Hippocampus,107,Androstane-3-17-diol,1086652,2153383,2237103.6,1676774.4,1.981667544,2.058712081,1.543064753,0.35343836,0.454065152,0.943423231
Cortex,107,Androstane-3-17-diol,1737962.6,1671228.8,2120428.2,1676812.4,0.961602281,1.220065495,0.964815008,0.979931534,0.754002377,0.959461397
Cerebellum,107,Androstane-3-17-diol,1883090.8,1632859,810938,2830555,0.867116445,0.430642006,1.50314313,0.933760722,0.062507711,0.840156308
Basal Ganglia,107,Androstane-3-17-diol,1387378.2,1528382.8,3411092.2,1474272.6,1.101633859,2.458660659,1.062632093,0.99374274,0.076325795,0.999850313
Hippocampus,108,Anserine,5297815,13140251,8401128.4,8557710.2,2.480315187,1.585772323,1.615328244,0.257361191,0.472814473,0.468093931
Cortex,108,Anserine,5675765.4,5375862.2,6679530.2,8680274,0.947160748,1.176851002,1.529357433,0.999971761,0.479370504,0.029376552
Cerebellum,108,Anserine,48130716,61954702.8,62538944,34416026,1.28721756,1.299356195,0.715053273,0.853566724,0.629434941,0.513213679
Basal Ganglia,108,Anserine,18139406.8,15473065.2,18435438.6,17563216,0.853008335,1.016319817,0.968235411,0.928956465,0.99999935,0.963708463
Hippocampus,116,ar-Turmerone,14326411.2,9661816.2,10847473.4,10672608.8,0.674405897,0.757166135,0.744960385,0.001552743,0.022924766,0.011140525
Cortex,116,ar-Turmerone,13080220.6,13578528.6,11623465.8,11863410.4,1.038096299,0.888629187,0.906973266,0.988962394,0.757119217,0.711016014
Cerebellum,116,ar-Turmerone,13124698.2,12328770.2,11594669.67,12741391.2,0.939356472,0.883423717,0.970794986,0.971409199,0.696888205,0.981497084
Basal Ganglia,116,ar-Turmerone,14410285.2,10082274.2,10538123.8,10656351.4,0.6996582,0.731291828,0.739496218,0.052240103,0.092127241,0.101709408
Hippocampus,109,Arg-Ala,129324.8,210596.4,119992.4,109812.2,1.628430123,0.927837507,0.849119426,0.310392453,0.999953016,0.912928114
Cortex,109,Arg-Ala,68580,79220.6,118934.8,154132.4,1.155156022,1.734249052,2.247483231,0.996566278,0.255211479,0.029044639
Cerebellum,109,Arg-Ala,222216.4,479913.2,302906.3333,218428,2.159665983,1.363114214,0.982951753,0.122520384,0.651711658,0.986417859
Basal Ganglia,109,Arg-Ala,176879,276492.8,212370,257301.6,1.563174826,1.200651293,1.454675795,0.202801314,0.69304651,0.501814126
Hippocampus,110,Arg-Asp,357781,717388.8,606728.8,611162.8,2.005105917,1.695810566,1.708203622,0.059975834,0.19634001,0.219858082
Cortex,110,Arg-Asp,338119.8,434384,528487.8,581474.4,1.284704415,1.56301938,1.719728924,0.599617934,0.280958745,0.092364678
Cerebellum,110,Arg-Asp,833556.4,1591644.6,1173216.833,1581983.8,1.909462395,1.407483445,1.897872537,0.029437238,0.325458004,0.054433063
Basal Ganglia,110,Arg-Asp,551115.6,644871.8,682240.8,616477,1.170120751,1.237926852,1.118598349,0.653237353,0.385055388,0.951052368
Hippocampus,111,Arg-Glu,352566.2,365340.2,335140.4,112238,1.036231494,0.950574389,0.318345888,0.956145481,0.991425428,0.88155437
Cortex,111,Arg-Glu,95793.6,94971.2,112324.6,297024.6,0.991414875,1.17256894,3.100672696,0.990893725,0.992432044,0.974248586
Cerebellum,111,Arg-Glu,687975.2,739081,268196.8333,91726.4,1.074284364,0.389835031,0.133328062,0.95150504,0.987132384,0.695301214
Basal Ganglia,111,Arg-Glu,239472,292443.8,172625.6,191507.4,1.221202479,0.720859224,0.799706855,0.944977968,0.935237562,0.994878543
Hippocampus,112,Arg-Gly,132213.2,220170.2,144118.8,140640.8,1.665266403,1.090048497,1.063742501,0.299704175,0.983111901,0.998307102
Cortex,112,Arg-Gly,105741,111747.6,125105.6,142390.4,1.056804834,1.183132371,1.346595928,0.988708652,0.839561606,0.445220465
Cerebellum,112,Arg-Gly,268313.2,519580.6,265356.6667,336925.2,1.936470513,0.988981037,1.255716081,0.476563117,0.999520918,0.971522979
Basal Ganglia,112,Arg-Gly,257650.8,269191.2,177670.6,238451.4,1.044790856,0.689579074,0.925482863,0.961343278,0.858055599,0.999947143
Hippocampus,115,Arg-Phe,1000,15501.4,16519.2,34790.6,15.5014,16.5192,34.7906,0.229324758,0.219893987,0.033531153
Cortex,115,Arg-Phe,1000,7625.2,21586.8,22755,7.6252,21.5868,22.755,0.611017201,0.055531081,0.141593621
Cerebellum,115,Arg-Phe,3742,27246.2,7989,32222,7.281186531,2.13495457,8.61090326,0.38259467,0.961238611,0.137416594
Basal Ganglia,115,Arg-Phe,23176,8207.8,13297.2,47549.8,0.354150846,0.573748706,2.051682775,0.987759169,0.988137337,0.159059705
Hippocampus,113,Arginine,55970445.4,87943213.2,30693406.8,32894172.8,1.571243762,0.548385967,0.587706111,0.615914649,0.817155986,0.758374036
Cortex,113,Arginine,50937106.8,15938920,29753763.6,76309592.4,0.312913728,0.584127475,1.498113992,0.20810313,0.755302229,0.886219677
Cerebellum,113,Arginine,142788934.4,145109496.4,108259253,83945194,1.016251694,0.758176769,0.587897055,0.841909266,0.82779849,0.319658093
Basal Ganglia,113,Arginine,60917949.6,54191326.4,37943175.6,38880408,0.889578962,0.62285707,0.63824223,0.993207518,0.858309521,0.85922868
Hippocampus,114,Argininosuccinic-acid,4753569.6,5669359.4,3813673.6,4947560.6,1.192653075,0.802275747,1.040809542,0.638162801,0.335569595,0.992872485
Cortex,114,Argininosuccinic-acid,4326444.6,4344655,4783360.4,4432144,1.004209091,1.105609997,1.024431007,0.999999788,0.85490526,0.999598711
Cerebellum,114,Argininosuccinic-acid,6624128.2,8015468.4,5949862,7753629.8,1.210041255,0.898210575,1.170513246,0.665795006,0.786001907,0.670096667
Basal Ganglia,114,Argininosuccinic-acid,4261706,5053936.6,4940687.6,5862017.4,1.185895179,1.159321549,1.375509573,0.419770044,0.469629736,0.031561532
Hippocampus,117,Asn-Arg,58147.6,170447,116999.2,78819.4,2.931281773,2.012107121,1.355505644,0.011497904,0.09494041,0.687333928
Cortex,117,Asn-Arg,44656.8,57891.6,97512.8,112685.2,1.296366959,2.183604737,2.523360384,0.837784285,0.030408573,0.006363044
Cerebellum,117,Asn-Arg,82861.2,156198.8,133890.8333,94580.6,1.885065628,1.61584473,1.141434109,0.125264932,0.312171294,0.999678876
Basal Ganglia,117,Asn-Arg,107588,147272.2,168365.4,138220.8,1.368853404,1.564908726,1.284723203,0.521618438,0.264788438,0.951600327
Hippocampus,118,Asp-Ala-Arg,551902.6,772189.4,675401.4,802414.4,1.399140718,1.223769194,1.453905816,0.349901956,0.792290933,0.370559443
Cortex,118,Asp-Ala-Arg,495768.8,605363.4,578249.2,677121.2,1.221059897,1.166368678,1.365800349,0.647773048,0.720564752,0.228514344
Cerebellum,118,Asp-Ala-Arg,2219855.2,2169810.8,2484947,4285288,0.977456007,1.11941851,1.930435823,0.999632318,0.996363257,0.148401477
Basal Ganglia,118,Asp-Ala-Arg,627845.8,678719.4,644884.6,652247.2,1.081028813,1.027138511,1.038865276,0.990378506,0.999369122,0.999865143
Hippocampus,120,Asp-Glu,102211.8,133483.8,155352,136812,1.305952933,1.51990279,1.338514731,0.492357762,0.235767619,0.633545518
Cortex,120,Asp-Glu,106062,128752,163645.6,155481.4,1.213931474,1.54292395,1.465948219,0.807378967,0.270068957,0.406865074
Cerebellum,120,Asp-Glu,84022.2,119092,114453.8333,143049.4,1.41738731,1.362185629,1.702519096,0.564099891,0.635570566,0.333464429
Basal Ganglia,120,Asp-Glu,151081.4,152466.6,129033.8,139680.2,1.009168567,0.854068072,0.924536045,0.999888373,0.512827409,0.77475968
Hippocampus,119,Aspartic-acid,30172245.6,43529751.2,63647287.2,55149956.4,1.442708368,2.109464706,1.827837315,0.303057351,0.037634025,0.072421831
Cortex,119,Aspartic-acid,44707324,56449453.6,66717404.8,74809843.2,1.262644429,1.492314879,1.673324111,0.682002121,0.356089805,0.222701649
Cerebellum,119,Aspartic-acid,48172097.2,75208151.2,70541945.33,77790330.4,1.561238882,1.464373557,1.614842096,0.311455246,0.262710029,0.27584924
Basal Ganglia,119,Aspartic-acid,43726193.6,48947444.8,48492171.2,56977608.4,1.11940786,1.108995941,1.303054387,0.930668082,0.981521233,0.749432575
Hippocampus,121,Azelaic-acid,1857933.6,1940924.8,1951309.8,612382.4,1.04466855,1.050258093,0.329604029,0.760130754,0.809580038,0.991106939
Cortex,121,Azelaic-acid,1264505,622469.4,1832905,747808.8,0.492263297,1.449503956,0.591384613,0.396556728,0.999995127,0.736929917
Cerebellum,121,Azelaic-acid,405109.2,663334.6,776336.6667,673321,1.637421712,1.91636395,1.662072844,0.384851493,0.14809807,0.309300397
Basal Ganglia,121,Azelaic-acid,431455.6,6622273.2,1077417.4,1911967.6,15.34867829,2.497168654,4.431435355,0.777344627,0.753370104,0.760460597
Hippocampus,122,Benzyltriethylammonium-cation,368165.8,30065.6,106373.8,67805.2,0.081663207,0.288929064,0.184170284,0.31280544,0.874948445,0.338797735
Cortex,122,Benzyltriethylammonium-cation,10573.8,17434.6,72943.8,292445.4,1.648849042,6.898541678,27.65754979,0.997765335,0.384232388,0.022980748
Cerebellum,122,Benzyltriethylammonium-cation,17998.8,25967.2,125377.5,11305.8,1.442718403,6.965881059,0.628141876,0.949423557,0.0803565,0.924382188
Basal Ganglia,122,Benzyltriethylammonium-cation,21869.8,54818.2,135878.4,17258.4,2.506570705,6.213060933,0.789143019,0.469786804,0.36427489,0.999363377
Hippocampus,125,beta-Nicotinamide-adenine-dinucleotide,266542,261873,499221.4,461592.4,0.982483061,1.872955857,1.731781108,0.978363875,0.129869341,0.301430026
Cortex,125,beta-Nicotinamide-adenine-dinucleotide,369922.6,467042.2,595216,645877.8,1.262540326,1.609028483,1.745980916,0.697426502,0.397628835,0.155770201
Cerebellum,125,beta-Nicotinamide-adenine-dinucleotide,338564.6,348548.6,444830.1667,884861,1.029489202,1.313870873,2.613566215,0.999305912,0.862871009,0.079248313
Basal Ganglia,125,beta-Nicotinamide-adenine-dinucleotide,614682.4,375575.6,538847.2,387926,0.611007571,0.876627019,0.631099898,0.15514892,0.976774689,0.166569367
Hippocampus,123,Betaine,726104456.8,867439111.2,834183244.2,743481081.6,1.194647827,1.148847437,1.023931302,0.576156488,0.822957102,0.993763498
Cortex,123,Betaine,549931397,691118263.8,740724386,890193728.8,1.256735417,1.346939618,1.618735962,0.073596927,0.018729104,0.000315028
Cerebellum,123,Betaine,1077482886,1282448089,1270081477,1301404206,1.190225948,1.178748631,1.207818911,0.363969134,0.319141728,0.266639915
Basal Ganglia,123,Betaine,817260354.6,863273692.4,970653849.8,892321614.2,1.056301933,1.187692324,1.091844978,0.934536114,0.330294013,0.827907028
Hippocampus,124,Betaine-aldehyde-cation,29397803.2,52371757.6,17692673.4,27901199.4,1.781485414,0.601836582,0.949091305,0.084130708,0.088249139,0.999212578
Cortex,124,Betaine-aldehyde-cation,19839609.4,28455263.4,27466545,18486978.4,1.434265304,1.384429726,0.931821692,0.513705808,0.659449632,0.963494259
Cerebellum,124,Betaine-aldehyde-cation,65461601,96645921.8,20731016.17,47159510.8,1.476375773,0.316689721,0.72041487,0.765804705,0.001690652,0.645598754
Basal Ganglia,124,Betaine-aldehyde-cation,30847906.6,43451129.4,28518431.6,35470249.6,1.408560067,0.924485151,1.149843004,0.30660673,0.996624127,0.817261759
Hippocampus,126,Biliverdin,758539.2,750159.4,243291.8,1314459.4,0.988952713,0.32073728,1.732882625,0.998456449,0.021387967,0.320234598
Cortex,126,Biliverdin,607386.4,726294.6,164979.6,189606,1.195770271,0.27162215,0.312167016,0.999728456,0.062112239,0.370415014
Cerebellum,126,Biliverdin,1299342.2,1545398.4,502852,2333690.2,1.189369821,0.387005055,1.796055112,0.998322776,0.007031558,0.302761425
Basal Ganglia,126,Biliverdin,670574.4,420759.8,217242.8,996199.2,0.62746177,0.323965245,1.485590861,0.603818618,0.169266853,0.998478996
Hippocampus,127,Bis-2-2-6-6-tetramethyl-4-piperidyl-sebacate,176492.6,29826,55270.8,447931.6,0.168992921,0.313162138,2.537962498,0.210079469,0.04353049,0.994792331
Cortex,127,Bis-2-2-6-6-tetramethyl-4-piperidyl-sebacate,216716.2,60094.6,7548.8,20673.2,0.277296298,0.034832652,0.095392961,0.488581525,0.001439306,0.002924303
Cerebellum,127,Bis-2-2-6-6-tetramethyl-4-piperidyl-sebacate,60081.4,15826.6,76375.83333,49615.4,0.263419294,1.271205953,0.825802994,0.592705097,0.395679687,0.888556477
Basal Ganglia,127,Bis-2-2-6-6-tetramethyl-4-piperidyl-sebacate,52217,20918.2,3834.2,45031.2,0.400601337,0.073428194,0.862385813,0.515204057,0.00845897,0.824420522
Hippocampus,128,Carnitine,678428403.2,756280396.8,549581318.4,467601113.6,1.114753441,0.810080055,0.689241652,0.598175856,0.184886936,0.007654193
Cortex,128,Carnitine,459307622.4,466921427.2,405744140.8,455827385.6,1.0165767,0.883382119,0.992422863,0.973693329,0.178799049,0.999998475
Cerebellum,128,Carnitine,884148672,870631654.4,737019957.3,797621222.4,0.984711827,0.833592789,0.902134729,0.999281289,0.116913456,0.535687461
Basal Ganglia,128,Carnitine,577208883.2,626742899.2,611925011.2,504373043.2,1.085816448,1.060144826,0.873813723,0.762853044,0.931072642,0.369237887
Hippocampus,129,Carnosine,585048.6,1297783.2,1133723,933187.8,2.218248535,1.937827045,1.595060308,0.683839973,0.56864402,0.768054567
Cortex,129,Carnosine,672826.4,27274179.4,2132073,1500711.8,40.53672597,3.168830771,2.23045915,0.062573246,0.560494592,0.742496768
Cerebellum,129,Carnosine,4495444.2,7748724.8,6727197.833,3075959,1.723683902,1.496447856,0.684239168,0.659229207,0.63804915,0.700133991
Basal Ganglia,129,Carnosine,1125640.6,1954249.4,1634238.8,1737729,1.736121991,1.451830007,1.543768944,0.441772116,0.725561361,0.706140482
Hippocampus,130,Choline-M-,3716184986,3906741094,3595298816,3511960730,1.051277347,0.967470357,0.945044647,0.229323341,0.622150729,0.189601167
Cortex,130,Choline-M-,3292908442,3484120678,3549628979,3496091699,1.058067887,1.077961639,1.061703282,0.110472265,0.023771254,0.087549028
Cerebellum,130,Choline-M-,3672555059,3797282509,3804428416,3708084941,1.033962037,1.035907796,1.009674431,0.5476219,0.489033241,0.977039223
Basal Ganglia,130,Choline-M-,3688370893,3665166080,3822349619,3605622426,0.993708655,1.036324635,0.977565036,0.986206963,0.338289975,0.668856325
Hippocampus,131,Chromone-3-carboxylic-acid,864232,841602.6,729319.6,709595.2,0.973815596,0.843893306,0.821070268,0.996071776,0.873128823,0.831389213
Cortex,131,Chromone-3-carboxylic-acid,965524.6,924366,800297.6,791589,0.957371775,0.82887334,0.819853787,0.985629829,0.627671468,0.61323025
Cerebellum,131,Chromone-3-carboxylic-acid,807584.6,565571,874545.3333,670646.8,0.700324152,1.082914822,0.83043535,0.42153383,0.977305481,0.695753877
Basal Ganglia,131,Chromone-3-carboxylic-acid,895478.8,720570,850010.8,706478.8,0.804675666,0.949224929,0.788939727,0.41103968,0.990132426,0.278560789
Hippocampus,132,Citrulline,401427398.4,542235724.8,533157529.6,545301683.2,1.350769098,1.328154311,1.358406739,0.067087735,0.091054806,0.064967426
Cortex,132,Citrulline,377468569.6,447975084.8,435697049.6,422809209.6,1.186787778,1.154260473,1.120117657,0.315838304,0.505405961,0.6237844
Cerebellum,132,Citrulline,503086905.6,618194227.2,594121621.3,661771110.4,1.228802062,1.180952266,1.31542106,0.101866287,0.2262255,0.024802271
Basal Ganglia,132,Citrulline,467065548.8,517085900.8,496890988.8,507872627.2,1.107094929,1.063857075,1.087369061,0.313012727,0.686795779,0.554991129
Hippocampus,133,Cotinine,1400056.2,1013037,8765516.2,1917313.8,0.723568811,6.260831672,1.369454883,0.988024389,0.454259073,0.999585182
Cortex,133,Cotinine,6321664.8,1394877.8,2938052.4,3196763.8,0.220650389,0.464759283,0.505683851,0.993001471,0.999749196,0.771802168
Cerebellum,133,Cotinine,1775522.8,8286393.2,3199076.167,7621418,4.667015935,1.801765748,4.29249233,0.3272295,0.644846184,0.699049984
Basal Ganglia,133,Cotinine,966501.2,1682862.6,1268649,2933761.6,1.741190389,1.312620202,3.035445378,0.99389292,0.992853187,0.925928684
Hippocampus,134,Creatine,3005829143,3529470209,3486996997,2307791014,1.174208527,1.160078245,0.767771854,0.914845843,0.935599289,0.333367196
Cortex,134,Creatine,2982220201,2161691657,2312363304,3451698153,0.72485984,0.775383154,1.15742565,0.470464911,0.62312255,0.987145969
Cerebellum,134,Creatine,2232758963,3694004285,3017578889,3181506343,1.654457264,1.351502307,1.424921541,0.275523307,0.68821368,0.664948725
Basal Ganglia,134,Creatine,2799220432,2779022586,2762770550,2210624421,0.992784475,0.98697856,0.789728596,0.999997958,0.998426068,0.913652853
Hippocampus,135,Creatine-phosphate,198695654.4,238812438.4,215384137.6,245498739.2,1.201900661,1.083990177,1.235551628,0.524904607,0.940200896,0.446315446
Cortex,135,Creatine-phosphate,142930094.4,182295097.6,180772358.4,227383532.8,1.275414379,1.264760645,1.590872333,0.048045282,0.05991902,0.000371867
